Index,URL
76,https://www.redfin.com/MA/South-Boston/67-Old-Harbor-St-02127/home/9196009
77,https://www.redfin.com/MA/Dorchester/60-Callender-St-02124/home/9098749
78,https://www.redfin.com/MA/West-Roxbury/92-Corey-St-02132/home/9302406
79,https://www.redfin.com/MA/Roslindale/163-165-Cornell-St-02131/unit-2/home/173630600
80,https://www.redfin.com/MA/West-Roxbury/92-Corey-St-02132/unit-2/home/137869780
81,https://www.redfin.com/MA/Boston/1789-Centre-St-02132/unit-205/home/167115215
82,https://www.redfin.com/MA/West-Roxbury/63-Gould-St-02132/home/9218923
83,https://www.redfin.com/MA/Jamaica-Plain/30-32-Goodrich-Rd-02130/home/9144349
84,https://www.redfin.com/MA/Boston/40-Pinckney-St-02114/home/9259155
85,https://www.redfin.com/MA/West-Roxbury/5205-Washington-St-02132/unit-401/home/193185468
86,https://www.redfin.com/MA/Boston/1-Avery-St-02111/unit-29D/home/9312619
87,https://www.redfin.com/MA/Dorchester/44-Percival-St-02122/home/9077803
88,https://www.redfin.com/MA/Brighton/2-Chestnut-Pl-02135/home/189961239
89,https://www.redfin.com/MA/Roxbury/74-Dale-St-02119/home/9298266
90,https://www.redfin.com/MA/Jamaica-Plain/4-Hagar-St-02130/unit-1/home/145601791
91,https://www.redfin.com/MA/Boston/599-Tremont-St-02118/unit-6/home/9301592
92,https://www.redfin.com/MA/East-Boston/156-Porter-St-02128/unit-138/home/11740478
93,https://www.redfin.com/MA/Boston/6-Whittier-Pl-02114/unit-10A/home/9228299
94,https://www.redfin.com/MA/Brighton/180-Telford-St-02135/unit-417/home/171787853
95,https://www.redfin.com/MA/Mattapan/27-Hosmer-St-02126/unit-6/home/12428399
96,https://www.redfin.com/MA/Boston/2-Powers-Ct-02109/home/9263994
97,https://www.redfin.com/MA/Boston/39-41-Mount-Vernon-St-02114/unit-V/home/193180400
98,https://www.redfin.com/MA/Chelsea/25-Division-St-02150/home/9001593
99,https://www.redfin.com/MA/Jamaica-Plain/307-Hyde-Park-Ave-02130/unit-1/home/12298109
100,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-21E/home/185441233
101,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-1802/home/184180541
102,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-1401/home/193179339
103,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-2001/home/193179338
104,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-1204/home/186901612
105,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-304/home/183119948
106,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-710/home/185441235
107,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-1202/home/181791745
108,https://www.redfin.com/MA/Boston/55-Lagrange-St-02116/unit-1206/home/193179096
